Country,CitizenshipCount
Albania,53238
Argentina,55966
Bangladesh,113508
Bosnia0Herzegovina,86308
Brazil,125688
Cambodia,77586
Canada,160647
China,619213
Colombia,284537
Cuba,373799
Dominican Republic,417046
Ecuador,137905
Egypt,81838
El Salvador,296060
Ethiopia,109711
Germany,73351
Ghana,72920
Guatemala,149101
Guyana,116557
Haiti,252836
Honduras,83959
Hong Kong,66789
India,783859
Iran,211723
Iraq,97703
Israel,52416
Italy,48210
Jamaica,289308
Laos,90199
Lebanon,58138
Mexico,1989534
Morocco,50623
Nicaragua,106262
Nigeria,136075
Pakistan,183234
Peru,169665
Philippines,708422
Poland,185249
Romania,72127
Russian Federation,153999
Somalia,70319
South Korea,300151
Taiwan,130850
Thailand,86735
Trinidad and Tobago,95976
Ukraine,175684
United Kingdom,164301
USSR (former),72800
Venezuela,85121
Vietnam,555756
